userName,score,at,content
Lestari Property,5,2023-10-07 09:12:28,Oke
El MALIKY STUDIOS,1,2023-10-07 09:08:37,WOY!!!! Kenapa setiap nge Klik opsi Transfer langsung otomatis keluar aplikasi!!???
Paisal Wawonii,3,2023-10-07 08:24:56,Aplikasi tertutup sendiri ketika melakukan transfer
Muhammad Syarifullah,1,2023-10-07 07:50:09,Kok tiba2 nge bus utk trf ke bank lain ??
If An,5,2023-10-07 07:32:25,"Aplikasi nya simple dan gampang digunakan,keren !! Bisa transaksi kapan pun dan dimnapu"
Laksmi Banawati,1,2023-10-07 07:25:30,Setelah di update saya malah gk bisa masuk ke menu transfer
3041_Pamadio Raihan,2,2023-10-07 07:22:06,"Kenapa Sekarang Bsi transfer ke bank lain tidak ada menggunakan bi fast? Kenapa hanya ada SKN dan Online yang biaya transfer nya lebih mahal🥲, kecewa sebenarnya"
Ikha Arif,5,2023-10-07 07:02:17,Bagus
Bastian Bast,1,2023-10-07 06:15:52,Menu transfer via BI Fast kok hilang? Kemana jadi nya?
Mutia Tia,5,2023-10-07 04:57:45,Dengan mudah tarik tunai
hakim ibnu muhammad,5,2023-10-07 04:20:21,Mantap pokoknya
Gilang Nur ridwan,1,2023-10-07 04:12:19,aplikasinya gak bisa dibuka..ga bisaa dipencet pencet.. hadeehhhh tolong diperbaikiiii
Bman Zenkom,5,2023-10-07 02:22:56,"Masya Allah tabarakallah kerja jadi lebih mudah, bisa bayar apapun tanpa harus keluar rumah. . Terima kasih atas segalanya semoga berkah."
Ir One,1,2023-10-07 01:23:54,Bug gk bisa transfer
Gun Gun Gunawan,5,2023-10-07 01:19:00,"Bagus banget,sangat membantu sekali"
futra bungsu,1,2023-10-07 00:08:46,Saya deposit 150 knpa di potong tinggal 40ribu saya minta kirim teman 300 masuk 290k minta lagi 210 K yang masuk 190k lah ini mah rampok kapok sy buat rek BSI SMUA HABIS D JLAN
Resty Sri Marswati,4,2023-10-06 23:50:26,"apk nya mudahh, tapi uang selalu ilang 10rb setiap bulann , knpaa ya ? pdhal setiap bulannya juga suka ada potongan 1rb aduhh jdi bingunhh inii"
N I C O F.P.M.,1,2023-10-06 23:35:32,"Kenapa loading pas masuk aplikasinya selalu lama? Pdhl jaringan 4g. Dan kalo Mw transfer sering keluar sendiri tanpa sebab, mohon lebih ditingkatkan lagi."
Edy Tongsol,1,2023-10-06 15:51:18,Krja
Muyya Surya,1,2023-10-06 15:48:23,"Kirim uang ke bca malah di suruh nunggu 24/7 bisa diperpanjang sampe 14 hari kerja, udah lapor ke AISAH MALAH GAK BERGUNA, NAJIS"
isma'il ashab,1,2023-10-06 15:44:40,"ga aplikasi ga atm nya, sering banget error. lagi butuh2nya uang, ambil uang di atm. saldo udh terdebit, eh uang ga kluar, dateng ke teller disuruh tunggu 1-2 minggu. kecewa bgt."
Kaze Kage,5,2023-10-06 14:19:41,Mantap bsi mobile banking 👍🏻
Vian Dra,5,2023-10-06 12:52:04,Memudahkan dalam transaksi pengiriman uang dan pembayaran.
Melsa Sutria,1,2023-10-06 11:50:24,Kenapa aplikasi nya gabisa dibuka ya padahal lagi perlu banget mau buka rekening tolong diperbaiki dong
anwar fatoni,1,2023-10-06 09:43:38,"aneh, masukin pin ga pernah salah tapi kok di blokir pin'nya. giliran telfon customer service katanya pin saya tidak di blokir kan aneh. jadi malas pakai BSI makin kesini dibikin susah"
joko nur sholeh,5,2023-10-06 09:24:38,"gak ribet dan gak makan waktu. cepet dan seneng banget pake aplikasi ini, semoga tambah bermanfaat untuk kehidupan"
Drive Antonius (Andes),1,2023-10-06 09:19:24,Video call aplikasi crash
KUCING LUCU SHOLAWAT,2,2023-10-06 06:12:47,Perasaan bintang iklannya Putri Ariani tapi kenapa banyak icon yang tidak bisa dibaca oleh pembaca layar saya sebenarnya suka dengan aplikasi tapi sayang sekali banyak icon yang tidak terbaca saya sebagai penyandang low vision sangat disayangkan mohon ada update untuk bisa bisa terbaca dengan pembaca layar tolong!!!😢😢
Ucu Khairul,2,2023-10-06 04:03:11,Susah banget buat aktivasi yaa
Irwandi,5,2023-10-06 03:19:39,App ini sangat bagus
Annisa Oktavera PAI-3,2,2023-10-05 23:54:04,"Udh d update, udah di restart ulang hp, udah d bersihin sampahnya, tp ttp aja error. Mengapa msh error, bahkan smpek berhari""?"
Seri Kandi,3,2023-10-05 23:14:24,Susah di buka selalu kehabisan waktu setiap buka aplikasi nya
syafik speed,1,2023-10-05 16:58:47,buat verifikasi aja susah bener anjccc
Ira Astuti,5,2023-10-05 15:49:04,Sangat cepat dalam memberikan informasi
Abdullah Cutayah,5,2023-10-05 15:23:59,Aplikasi mobile yang mudah dan terpercaya.
yusran 79,5,2023-10-05 15:10:21,Aman
US ABDUL MALIK HABE,4,2023-10-05 15:03:14,Praktis dan menggembirakan...
Cooking with Yaya,5,2023-10-05 14:58:19,Sangat membantu utk cek saldo dan transfer
Pinang Betara,5,2023-10-05 14:00:23,Sempurna
Raisha Adinda,1,2023-10-05 13:02:49,Gak bisa di buka
Baihaqqi,5,2023-10-05 11:15:34,Mantap
Amy Fahmi,5,2023-10-05 10:34:47,Sangat membantu very good
Aisyah Deaisyah,5,2023-10-05 10:12:00,Keren dan ok
Ida Sape,5,2023-10-05 10:03:32,Mantap
fitri rheviani3,1,2023-10-05 08:34:49,"Aplikasinya time out terus, gabisa di buka sekalinya mau pake rekening bsi malah gabisa terus di buka, jadinya males nih kaya gini. Tolong di perbaiki dong aplikasinya biar nasabahnya gampang buat akses aplikasinya Kirain masalahnya karena blm di upgrade udah nyoba di uninstal dlu di instal lagi ttp ajh masih gabisa... Sudah dari seminggu lalu time out terus masa kendalanya di jaringan data terus padahal bagus² ajh ni data saya kalo buka apk lain, tapi klo buka bsi mobile gabisa terus.."
Park Engineer,5,2023-10-05 08:26:01,SANGAT BAIK
M Zubir,3,2023-10-05 06:54:18,"Tolong ditingkatkan lagi, supaya bisa kita masuk ke menu, kdang2 eror waktu kita masuk ke menunya,"
Mayang Sari,3,2023-10-05 06:41:24,mau transfer atau top-up sering kali nggak bisa. kalo darurat agak bingung ya mau gimana. semoga ada solusi secepatnya ya
Radja Lingga,2,2023-10-05 06:34:10,"Layanan chat Aisyah bikin malu Aisyah yg lainnya. Lemot, matikan teks detection nya bos! Biar lancar kami ngetiknya."
Toni afandi,5,2023-10-05 04:50:54,😇
Yogi Rismawan,5,2023-10-05 03:48:57,"Transaksi Amanah, Aman, dan mudah"
Asti yani,1,2023-10-05 03:26:54,"BSI ribettttttttttttt,mauu buat ATM baru,karena ATM yg lama hilang,harus minta surat kehilangan,beda memang sama BCA paling mundah dan gampang"
BOB Sandi,3,2023-10-05 01:11:40,Tgl mulai kerja sudah terpilih benar tp ttp ada tanda salah. Jadi gak bisa lanjut pendaftaran
Ripal Ripaldi,5,2023-10-04 17:14:54,Pokoknya mudah di sini
Irvan Hungkul,5,2023-10-04 14:39:36,"Bagus, perkembangan nya sangat cepat, ga susah nyari atm nya tiba2 banyak aja, Kendala kartu atm tertelan dan tarik tunai uang tidak keluar tapi saldo ter debet bisa melakukan pengaduan langsung di bsi mobile, proses nya juga cepat uang saya kembali"
Rafli Dwi Darmawan,4,2023-10-04 14:10:53,"Bagus, tapi kenapa qris nya tidak bisa ya?"
Abdur Rahim Him (Abdur Rahim),1,2023-10-04 13:29:42,"BSI sering susah tarik tunai di ATM karena ATM-nya sering bermasalah & jaringan internetnya sering gangguan. Bahkan setelah heboh ada serangan siber pun sistemnya masih saja sering eror. Contohnya saat saya ingin aktifkan kartu debit yg sudah lama tidak digunakan, kata CS-nya nomor kartu tsb tidak terdaftar atas nama siapapun. Padahal jelas tertulis BSI & valid sampai tahun 2025. Mending pindah ke Bank Jago Syariah atau Aladin Syariah yg kartu & smua transaksinya bebas biaya + dapat imbal hasil."
Shella Rais,5,2023-10-04 13:00:54,Bagus
ahmad hafidz,1,2023-10-04 11:59:35,Sering eror
Bina Busana,5,2023-10-04 11:44:55,Sangat bagus dan sangat bermanfaat
Hamster Jie,1,2023-10-04 11:37:00,"Gak jelas banget, pin bsi mobile udah bener tapi di aplikasi error dan jadi terblokir. Giliran coba login ulang pake pin yang sama bisa aja, pas mau dipake transaksi pin terblokir suruh menghubungi pihak bsi"
Arip Hendrawan,1,2023-10-04 11:18:59,"Ko punya ana tiap mau transfer keteranganya gitu terus Maaf,anda tidak memiliki no rekening yang di butuhkan untuk fitur ini Ini kenapa...?"
Ruuxa Middle,1,2023-10-04 09:50:05,"Ini aplikasi bisa buat aktivasi ga sih?, heran bikin aplikasi tapi sama nomer reg sendiri ga kebaca blog bgt sih, kloga biss bikin aplikasi tuh nanya."
Mokhamat Toriq A Toriq,1,2023-10-04 08:40:17,"Tidak bisa memasukan pin baru padahal smua sudah sesuai prosedur Selalu permintaan gagal dibterima pdahal sudah coba berkali"" hasilhya ttep sama tidak bisa di terima"
Najwa sihab Sihab,5,2023-10-04 08:21:13,Muantap bgt
Julyanto Anto,5,2023-10-04 07:52:22,"Sangat membantu sekali dengan adanya BSI Mobile, sukses terus BSI dalam menebar kebaikan"
Teguh Dwi P,5,2023-10-04 07:50:26,BSI Mobile sangat membantu makaci
Ibnu Affanz (anak buruh tani),5,2023-10-04 07:42:12,Sejauh ini tidak ada kendala. Hanya waktu trouble nasional aja.
Jeng naby1,5,2023-10-04 07:33:16,Baik
Shalli Ahdiasti,1,2023-10-04 07:26:50,Masa hrs ganti hp buat bisa gunakan mobile bankingnya?? Nyusahin banget bsi ni👎👎👎
Muzzammil Muzammil,5,2023-10-04 06:25:57,Sangat memudahkan dalam bertransaksi
Rosyid Diysor,5,2023-10-04 05:28:13,Sangat mudah di gunakan.bagus
Yofy Nurdiansyach,5,2023-10-04 04:55:23,Lebih lengkap menunya dan Top aplikasi Mobile Banking
-,5,2023-10-04 03:06:16,🏃🎟
Riski Ananda,5,2023-10-04 03:04:39,mantap
tumira alfiyah,5,2023-10-04 02:25:51,Sangat terbantukan
Juniadi,1,2023-10-04 01:33:04,"Aduh.. Kok rumit kayak gini bsi, mau liat saldo susah, harus masuk pakai pin, udah gitu bahasa2nya ribet pula, ayolah bsi dibikin simpel aplikasinya"
Rensi Aminah,1,2023-10-04 01:31:10,Login ke rekening yang sudah di buat sangat sulit.. Terutama saat verifikasi wajah sering gagal.. Da walaupun sudah melakukan video call tetap saja tidak bisa login.. Muncul perintah buat rekening/masuk ke akun.. Gitu tolong di perbaiki dong..
Rabi'atul 'Adawiyah,5,2023-10-03 23:09:15,Mantap aktivasi sekarang jadi mudah. Terus berkembang BSI terimaksih banyak 😉
Aasdal Putra,3,2023-10-03 14:01:46,Manatap
Helmi Utama,3,2023-10-03 13:50:56,Mqntap
Yans Faijo,4,2023-10-03 13:04:34,jangan banyak gangguan lgi ya bsi
Aprilianto,4,2023-10-03 12:40:12,Mantap
Nayaka,5,2023-10-03 12:38:50,Mantap
Diki Dinata,5,2023-10-03 12:09:56,"Bagus aplikasinya, nyaman dan aman"
Pengguna Google,5,2023-10-03 09:57:21,Mantaap. Aplikasinya muda di pahami_ terimkasih BSI
Abdulloh Ma,1,2023-10-03 08:35:28,Loading bosq
Roffy dagul,1,2023-10-03 07:42:12,Sangat tidak puas dengan pihak bsi...selesai vc malah gk ada sms aktivasi...sampai 3 kali aku coba
Dikky Wahyuddin,4,2023-10-03 07:41:06,Tolong untuk kemudahan membuka aplikasi nya min. Sering sekali tidak bisa di buka aplikasi nya. Selalu error
Bayu Pandu fisabilillah,1,2023-10-03 06:22:06,"Sangat buruk,pelayan nya lambat bsi mobile sering eror,saldo tertahan tidak jelas. Seminggu lebih saldo gak balik2"
Nadya Dani,5,2023-10-03 05:01:31,Mantap
Yasin Yusuf Fitriyanto,5,2023-10-03 03:49:25,alhamdulillaah amanah syariah
Ach. Totok Suhada,5,2023-10-03 03:46:27,Semoga selalu dpt membantu dlm transaksi
isiReferal: PAN⓿❶❷❷⓿⓿ Cpt Acc Dpt Bnus jg,2,2023-10-03 03:35:05,"Setelah update di versi terbaru ini, aplikasi malah tidak akses dengan pembaca layar. Yang tadinya menu-menu masih bisa terbaca, sekarang malah jadi angka-angka nggak jelas. Tolog untuk pengembang BSI, selain grafik yang mesti dipercantik, jangan lupa kalian harus tetap mempertimbangkan aksesibilitalitas pembaca layar"
suharti subhan,5,2023-10-03 01:02:24,Ok
Yusroni Badrun,5,2023-10-02 23:37:13,Stabil
Turyanto,5,2023-10-02 23:22:16,Tolong disediakan tutorial cara membuka rekening baru yang update. Kalau di luar negeri apakah bisa membuat rekening baru ?
Refa Lina,1,2023-10-02 16:35:27,"Gaush Download ni apk ga ada guna, pas kita buka rekening mala bilang eror jaringaan"
Cak Lee,1,2023-10-02 14:43:52,Di pakek gk bisa di uninstall juga gk bisa.. Bikin lemot hp aja
Syarfani Akbar,1,2023-10-02 14:26:42,"Aplikasi sering error request time out, orang butuh mau transaksi cepat malah terhambat karena aplikasi yang berkali-kali gak bisa dibuka, aplikasinya diperbaiki lagi bos untuk kenyamanan nasabah, kalo kaya gini terus orang jadi malas pake Rekening BSI."
iman sefiyan,1,2023-10-02 14:09:05,aneh mau di unistall gk mau ilang
Dewi Nafi,1,2023-10-02 13:20:39,"mw tanya ini beneran bank BSI resmi apa cuma settingan ya? Buat nipu orang aja? Biaya awal da aq bayar 300rb, trus ada masalah karna ganti rekening suruh tf lagi 1750rb mw gk mau demi bisa pencairan sya carikan pinjaman sampai gadaikan speda Katanya suruh nunggu, tk tunggu sampek besoknya tetep gk bisa penarikan karna alasan yg gk jelas trus suruh tf lagi 2500rb Sebenere ini bisa minjemin dana gk sih, kk suruh kirim uang trus""an tpi gk cair"""
Dahlan Yusuf,4,2023-10-02 12:46:12,Ok
Afni fitriani Nur,1,2023-10-02 09:50:33,"Kurang ajari bisa""nya saldo saya hilang 500,000 di rekening ini. Silahkan makan uang haram 500 itu. Applk SYARIAH KIMAK"
lily suryani Pohan,2,2023-10-02 08:21:38,Susah mendownload nya
RYO ROSANDHY MASHEZA,1,2023-10-02 07:10:20,"permudah aktivasi ulang jika nasabah ganti HP, re-install aplikasi, pin terblokir.. shg ga perlu dtg ke CS, simpel, mudah, ga bikin repot, hemat, lebih rendah polusi udara (tanpa dtg ke bank) bersama aplikasi m-banking BSI"
Ari Kusmaidi,1,2023-10-02 04:53:34,Jelek amat. Kode capcha 100 x coba tdk berhasil... udh berhasil. Hbis isi data dan foto ktp. Langsung aktifasi yg harus isi rekening. Padahal blum rekening udh dapat. Aplikasinya eror apa org didlmnya juga eror.
Karto Marmo2,1,2023-10-02 04:23:53,Ternyata belum bisa buka rekening lewat online
Luna Nuranisa Zakiah,3,2023-10-02 04:13:23,Saat ini bsi bermasalah bagi hp saya jadi saya beri bintang 3. Terima kasih
kagajep bry,1,2023-10-02 03:13:26,jelek
Rahmat Munawar,1,2023-10-02 00:29:02,tidak bisa scan wwajah
U M E *,2,2023-10-01 22:39:31,"Bangkee man ,Masakk Salahh Mulu pin pdhl udh masukin. yg benar ,malahh jadinya Keblokirkan pin 😶😤😤,GAK JELAS BENERRR"
Titi Cell,1,2023-10-01 21:51:39,Sistem BSI bikin GK nyaman Setiap store tunai selalu nyangku uang Dalam satu bulan 10 kali ke bank urus laporan Uang yg pas Pasan mending GK usah pakek bank BSI yang ada nyangkut uang urusnya ribet Untuk =BSI yang terhormat Tolong di perbaiki lagi sistemnya Sudah banyak yang komplain soal store tunai uang nyangkut Kami selaku pengguna BSI GK nyaman kalo uang selalu tersangku sangkut Sekian terima kasih
Wisnu Adhi,5,2023-10-01 14:20:33,mantap
eko setyawan,1,2023-10-01 12:32:02,"Aplikasi tidak frendly,sudah aktifasi ,mau login disuruh aktifasi lagi ,login 5 kali aktifasi 5 kali ,mohon di perhatikan dan di perbaiki"
Desty Aryani,1,2023-10-01 12:29:14,Ini mau verifikasi wajah kenapa ga bisa si. Item semua mulu bagian lingkaran wajahnya. Bikin males aja
Andhy Andhysuwandi,5,2023-10-01 11:59:51,Sangat bermanfaat
Suci Sari,4,2023-10-01 06:27:53,"Saya hesty kartika, dari dulu sampai sekarang dan saat ini bisa dibilang saya tetap nyaman dan setia menggunakan bank BSI ini, bayangkan aja dari tahun 2019 sampai 2023 ini sudah empat tahun saya menggunakan bank BSI ini masih tetap nyaman dan setiap, yang paling aku suka dari bank BSI ini adalah: Ketika kita nabung disini, kita gak dikenakan biaya admin bulanan dari bank BSI ini. Dan ketika mendaftar nanti, jangan lupa tulis -P A N 01 22 00- ini biar akunmu terverifikasi ya."
Agil Akbar,3,2023-10-01 04:15:58,"Bintang 3 dulu, karena QRIS saya tidak bisa dipakai. Mohon tanggung jawabnya"
Muhammad Yunus,1,2023-10-01 04:02:13,"Aplikasi macam apa ini, kita disuruh instal ulang, setelah diinstal malah gak bisa buka"
Imam Muttaqin,1,2023-10-01 00:17:24,"beli pulsa. saldo udah kepotong, kok pulsa gk bisa masuk...?? gimana nih....?"
akmal sangfarm,1,2023-09-30 19:31:54,"Saya ubah penilaian saya karena ini sudah melnceng jauh dari syariah ,kemaren saya menutup pinjaman untuk mengajukan pinjaman baru eh waktu tanda tangan akad dipaksa ambil cicilan emas,👍🏼👍🏼"
Abu Azzam,2,2023-09-30 14:55:43,"KENAPA SERING CRASH! DAN BUGNYA LUAR BIASA, MENGELOLA UANG UMMAT ITU BUTUH AMAN DAN NYAMAN, BUKAN HANYA UNTUNG SEMATA UNTUK BANK, INGAT SETIAP KEKECEWAAN KASTAMER YG TIDAK DITINDAKLANJUTI AKAN ANDA PERTANGGUNGJAWABKAN!! BIKIN DONG APLIKASI YG PROFESIONAL DAN AMAN!!"
Abdul Fatah,5,2023-09-30 14:49:07,Kemudahan banget
dewi sriana,5,2023-09-30 13:49:32,Oke....!
putri dita,1,2023-09-30 11:42:40,"Apaan nih. Makin lama maakin aneh ini app.. buat pembayaran pdam biasanya lancar, ini eror² terus. Diupdate malah banyak yg gabisa kebaca"
A Idris AL Ikhsan,1,2023-09-30 11:17:53,Gagal Transfer. Saldo ke ambil tp tidak di balikan lagi
Nur udin,5,2023-09-30 11:11:20,Bagus
Hendi Afresia Reza,1,2023-09-30 11:10:00,"Setiap aktivasi harus masukan no rekening, sementara kita gak dikasih tau no rekeningnya"
denny safrizaltv,5,2023-09-30 10:22:53,Kenapa ya saat mau transfer sangat susah gagal terus tolong jgn d batasi waktu karena kita urgent susah harus ke gerai ATM lain
3871 Ari,1,2023-09-30 10:20:41,"Menu CARE Rekan Aisyah tidak membantu, saya ketik masalah saya, disuruh pilih sambungkan ke CS, saya klik, dijawab sudah terhubung dengan rekan Aisyah. Saya ketik masalah saya, disuruh pilih sambungkan ke CS, lalu dijawab lagi sudah terhubung dengan rekan Aisyah. Saya ketik masalah saya, kembali disuruh pilih sambungkan ke CS, dan dijawab lagi sudah terhubung dengan rekan Aisyah. Saya ketik masalah saya lagi, dan kembali disuruh pilih sambungkan ke CS, muter aja terus kayak gitu"
Aubameyang Origins,1,2023-09-30 08:19:21,"UI nya ribet!! Cek nomor rekening aja harus tap tap menu. Ditampilkan dihalaman depan kan bisa? Gak bisa di copy-paste lagi KOCAK. Orang lagi butuh norek buat transfer masa harus ngetik dulu. Bank yang lain udah tinggal copy-paste aja biar gampang, tampilkan dimuka. Ini yang bikin UI nya siapa sih? Anak SMK ya? Wkwkkkk"
Feri Rsw official,1,2023-09-30 08:05:14,"buruk,sering eror, perbaiki sistem nya"
Tri Munawir,2,2023-09-30 07:56:13,"Sekarang knpa gak ada pilihan bank BCA, yg ada BCA Syariah & BCA digital..?"
Abu Zain,1,2023-09-30 07:51:58,"Semua Rek Favorit hilang semua,mau tf malah harus isi dari pertama lagi,aplikasinya buruk,gx guna"
Al insan,2,2023-09-30 05:40:21,Sy sudah daftar diaplikasi sesuai prosedur tkutx disalahgunakan tinggal buka rekening tp tdk bisa tembus katax bisa VC tp tdk bisa
Aris Gunawan,5,2023-09-30 05:32:49,Baik
rifky 1230,1,2023-09-30 05:18:51,Setelah update pas buka aplikasi waktu time out mulu
Risma Layanti,3,2023-09-30 05:04:32,Kenapa pada saat transaksi aplikasi nya selalu keluar yah
Ratih Hanny,3,2023-09-30 03:54:28,"Saya tadi malam transfer melalu bsi mobile ke bank lain,tapi sampai sekarang uang pun belum masuk ke rekening penerima, bagaimana ya kok bisa begini, disini saldo saya sudah terpotong"
Ahmad Bazhir,2,2023-09-30 02:45:59,"Mode pembayaran QRIS di versi terbaru, , tidak bisa di akses ... jadi apa gunanya ada fitur QRIS"
Yudies Yudies,5,2023-09-30 00:49:10,punya bsi mobile mempermudah urusan kita
Muhammad Rizky Ramadhan,4,2023-09-30 00:14:57,"Tidak bisa memasuki aplikasi ini gimana, padahal saya sudah punya rekeningnya."
Aceng Cucu,4,2023-09-29 23:24:17,Mantap
Ujang A Fatah,5,2023-09-29 23:04:48,Kanapa BSI OTO tidak ada motor merk honda
Adel Seskia,2,2023-09-29 22:31:03,"Gk tau knp gk bisa login, pulsa udah ada tp ttp gk bisa login. Gk paham lagi deh udah tau bolak balik ke kantor cabang itu butuh wktu, saran ke cs pun gk ada solusi"
Muhammad Noviannur,1,2023-09-29 16:49:32,"Aplikasi buruk, sistem pun sama, selalu gangguan ini bank,, tidak rekomendasi !!!"
Syahri Ramadhani,5,2023-09-29 15:58:20,Mantap
Ratnawan Lukito,5,2023-09-29 14:46:45,Cepat dan akurat
Elvisa Putri,4,2023-09-29 13:30:15,"Transfer uang ke bank lain, transaksi gagal tapi saldo berkurang. Parah banget sih. Kalau bank lain biasanya kalau transaksi gagal uang kita ga dipotong. Ini BSI kok gini sih? Saya lapor lewat layanan chat disuruh ke kantor cabang. Bikin ribet aja. Tinggal balikin aja duit saya apa susahnya."
Toni Azhora,1,2023-09-29 12:34:33,Makin lelet keluar terus kalo sudah mau transfer uang
Mutiara The jahra,2,2023-09-29 12:33:36,"TGL 29/09/23 JAM 17:39 SAYA TRANSFER UANG 2 JUTA KE REKENING BANK BCA, TRANSAKSI SUKSES TAPI UANG NYA BLM MASUK. TOLONG KEMBALIKAN UANG SAYA"
sufendri fens,5,2023-09-29 12:27:15,Masih ok...
Roma Yantiifairy,1,2023-09-29 08:55:45,Hanya Pihak bsi yang bisa di hack akunnya. Buruk banget
Aku Aja,5,2023-09-29 07:32:34,Mantap
Mahmudi,1,2023-09-29 04:41:05,Transaksi tertahan pelayanan kek taik
Sholeh Leh,5,2023-09-29 04:24:30,Bagus Sekali
Budi angkat Budi angkat,4,2023-09-29 03:58:53,Ok
M Masih,1,2023-09-28 22:49:47,"Bagaimana ini?. Tarik tunai dimesin atm uang tidak keluar, sudah pengaduan tapi uang tetap tidak kembali. Sudah 2x begitu dan 2x juga uang saya tidak kembali"
Wanda Abdul Ali,1,2023-09-28 16:03:33,"Padahal sudah mengisi semua kolom pendaftaran tapi gk ada kemajuan dalam verifikasi,dari siang kemarin sampai sekarang masih dibilang ""data sedang dalam proses verifikasi"" ,kecewa sama pelayanannya"
amri tanjung,5,2023-09-28 15:43:39,terimakasih sudah memberikan kemudahan memindahkan bsi mobile ke hp baru. tanpa pulsa pula
Khoirul_xii tkj1,1,2023-09-28 14:24:19,"Ini kenapa SII bsi skrg log-in nya jadi ribet sumpah dah, gua kira di update tuh jadi makin bagus ternyata ga sesuai sama harapan. Ayolah kalo mau buat sistem Jdi bagus ga gitu caranya."
ABRAR,5,2023-09-28 12:52:19,Mantap
Arif Kurniawan,1,2023-09-28 12:16:21,"Apk sampah, susah dibuka"
SOF7z,2,2023-09-28 11:47:51,Aplikasi scan wajah perlu di perbaiki itu sangat merepotkan
Wulan Cy,1,2023-09-28 11:24:18,"Aplikasi nya ndak bisa di buka di hp saya,di hp redmi not 9, gimana cara agar bisa di buka dn di gunakan. Baik ka nnti saya akan ke kantor bank BSI yg terdekat dn masalah sinyal insyaallah stabil ka"
Grand max,1,2023-09-28 11:11:06,"Mau di uninstal kagak bisa"" 🤣🤣ni apk apaan gak jadi instal mau di hapus kok susah amat 🤣"
Ade purnomo Sigit,5,2023-09-28 10:51:28,Terpercaya
Yusrian Djaya,4,2023-09-28 08:54:37,Good
a'an,4,2023-09-28 08:53:41,"Assalamualaikum min, mau nnyak nih. Kan saya sudah daftar rekening BSI dan juga sudah daftar di aplikasi BSI mobile , ketepatan hp saya rusak, jdi saya install lagi BSI nya lalu saya masukkan , kok disuru aktivasi lagi"
Rahmat Ridoh,5,2023-09-28 08:45:44,Ok
status wa,5,2023-09-28 07:37:43,Takbir
Pelayanan_Al,1,2023-09-28 05:05:42,"Terlalu ribet cuma periksa saldo aja harus pake pin apa-apa harus pakai pin alhasil lupa masukan pin jadi keblokir, ini sama saja di persulit, ngga seperti aplikasi biru yang mempermudah usernya"
Indo Brader,1,2023-09-28 04:52:53,Beda before & after. BSI cab. Martapura Oku Timur melayani nasabah kayak pengemis. Mending berkas saya cabut & pinjem modal di bank lain aja.
Jamm Jr,1,2023-09-28 04:24:28,"Aplikasi meminta kontrol perangkat untuk mengenskripsi data, mengizinkan untuk menghapus data tanpa perlu minta izin."
Mohammad Khairuddin,5,2023-09-28 02:42:19,Lancar dan baik sekali
Abdul Farid,4,2023-09-27 22:17:24,perbanyak ATM SETOR TUNAI
L Hakim II,2,2023-09-27 18:42:03,Masa tiap kali mau transfer uang ke bank BCA selalu error?? padahal transfer ke bank lain bisa...
Kahfi Kahfi,1,2023-09-27 15:06:42,ATM sering maintanance mengecewakan
Sarna Warna,1,2023-09-27 12:43:43,"Saya lupa kata sandi, katanya harus dihapus lalu instal ulang, udah coba dihapus nggak bisa, dinonaktifkan juga nggak bisa,"
Toharudin,5,2023-09-27 11:14:42,Mantab aplikasinya
Roni Firmansyah,5,2023-09-27 10:23:39,"Aplikasi Bsi mantap bisa activasi langsung di rumah & gak ribet , semoga jaya selalu BSI ...."
Kang Ono,1,2023-09-27 04:58:43,Aplikasi nya gk bisa di uninstall
Mahmul Aznil,2,2023-09-27 04:31:00,"Aplikasi selalu force close, padahal sudah di versi yang terbaru, dan android sudah di versi android 9"
Ana Agustina,1,2023-09-27 03:58:17,Ini kenapa hari ini ga bisa buat transaksi?
Fathur Rohman,1,2023-09-27 03:02:02,"Saya isi saldo 50k, di mutasi ada keterangan, tapi cek saldo nol terus"
Aprilia Zahwa Chairunisa,1,2023-09-26 23:48:44,Kok lama verifikasi nya min
Wing,5,2023-09-26 23:33:23,Terimakasih pihak dari BSI mobile Langsung menanggapi masalah secara cepat
hermawan aji (Abu Daffa' Bantul Jogja),5,2023-09-26 17:24:07,masya Alloh siipp
Zam Roni,5,2023-09-26 17:02:08,Sudah mulai diperbaiki... Walau masih ada juga yang macet...
Ibnu Hidayat,1,2023-09-26 14:54:30,GANGUAN TEROSSSSSSSSSSSSSSSSS
Dita Safira,5,2023-09-26 14:08:54,Sangat canggih dan praktiss
Emma Zeah,5,2023-09-26 12:36:37,"memudahkan untuk bertransaksi, jarang troble"
Sujono,3,2023-09-26 11:54:42,Payah
Senja Kala itu,3,2023-09-26 11:22:29,"Tidak bisa menarik saldo 50k . Agak ngeselin ,gk kyk kompetitor yg lain bisa narik 50k."
ragialdi bima ichsan aldi,1,2023-09-26 11:07:17,"Kalau di aceh masih ada BNI atau BRI sumpah, gak bakal minat gua pakai ini BANK beserta aplikasinya😂. Memang paok kali ni akal2an pemerintah aceh yg maksa BRI, dkk cabut, jd mau gak mau harus ngadapin buruknya pelayanan BSI ini"
Rhenny D,5,2023-09-26 11:03:00,Cepat dan mudah operasionalnya
Pekhmata Muda,3,2023-09-26 10:27:32,"Tidak bisa masuk aplikasi, walaupun sudah di update aplikasinya. Klik aplikasi ga lama keluar nutup dengan sendirinya aplikasinya."
